Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Department of Environment Forestry and Fisheries,South Africa,South African,It is responsible for protecting conserving and improving the South African environment and natural resources,P17,Forwards
Eurasian Steppe,Hungary,Hungary,It stretches through Hungary Bulgaria Romania  Moldova Ukraine Western Russia Siberia Kazakhstan Xinjiang Mongolia and Manchuria with one major exclave the Pannonian steppe or Puszta located mostly in Hungary,P17,Forwards
Bonobo,Endangered species,Endangered,The species is listed as Endangered on the IUCN Red List and is threatened by habitat destruction and human population growth and movement though commercial poaching is the most prominent threat,P141,Forwards
Greenpeace,Environmentalism,environmental,Greenpeace is a nongovernmental environmental organization with offices in over 55 countries and an international coordinating body in Amsterdam the Netherlands,P135,Forwards
New York City,United States,United States,New York City NYC often simply called New York is the most populous city in the United States,P17,Forwards
Anabaptism,Amish,Amish,In addition to a number of minor Anabaptist groups the most numerous include the Mennonites at 21160million the German Baptist Brethren at 15160million the Amish at 350000 and the Hutterites at 200000 in Canada alone91span titleThis claim needs references to reliable sources in the body of the article,P279,Backwards
United Nations,United Nations Economic and Social Council,Economic and Social Council,The UN has six principal organs the General Assembly the Security Council the Economic and Social Council ECOSOC the Trusteeship Council the International Court of Justice and the UN Secretariat,P527,Forwards
United States Department of Agriculture,United States Forest Service,United States Forest Service,The United States Forest Service is the largest agency within the department which administers national forests and national grasslands that together comprise about 25 of federal lands,P355,Forwards
Sustainable Development Goal 1,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 1 SDG 1 or Global Goal 1 one of the 17 Sustainable Development Goals established by the United Nations in 2015 calls for no poverty,P361,Forwards
Car,Air pollution,air pollution,The costs to society include maintaining roads land use road congestion air pollution public health healthcare and disposing of the vehicle at the end of its life,P1542,Forwards
GNU,GNU General Public License,GPL,Most of GNU is licensed under the GNU Projects own General Public License GPL,P275,Forwards
World Food Programme,United Nations,United Nations,The World Food Programme91a93 WFP is the foodassistance branch of the United Nations,P749,Forwards
South China tiger,Tiger,tiger,The South China tiger is a tiger from a specific population of the Panthera tigris tigris subspecies that is native to southern China,P171,Forwards
Upper Florentine Valley,Australia,Australia,The Upper Florentine Valley is a valley in the south of Tasmania Australia is an area recognised for its landscape and old growth forests,P17,Forwards
Finland,Norway,Norway,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P47,Backwards
Johnson Matthey,London,London,Johnson Matthey is a British multinational speciality chemicals and sustainable technologies company headquartered in London England,P159,Forwards
Pacific Ocean,Ocean,oceanic,The Pacific Ocean is the largest and deepest of Earths oceanic divisions,P31,Forwards
Denmark,Copenhagen,Copenhagen,    AnthemsDer er et yndigt landEnglish There is a lovely countryKong Christian stod ved højen mast91N 193English King Christian stood by the lofty mastLocation of the Kingdom of Denmark green including Greenland the Faroe Islands circled and Denmark properLocation of160Denmark proper91N 293160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityCopenhagen55°43′N 12°34′Exfeff  xfeff55717°N 12567°Exfeff  55717 12567Official160languagesDanishRecognised regional160languagesFaroeseGreenlandicGerman91N 393Ethnic160groups ,P36,Forwards
Atlantic Forest,Brazil,Brazil,The Atlantic Forest Portuguese Mata Atlântica is a South American forest that extends along the Atlantic coast of Brazil from Rio Grande do Norte state in the northeast to Rio Grande do Sul state in the south and inland as far as Paraguay and the Misiones Province of Argentina where the region is known as Selva Misionera,P17,Forwards
Jack Ma,Alibaba Group,Alibaba Group,He is the cofounder and former executive chairman of Alibaba Group a multinational technology conglomerate,P488,Backwards
Flanders,Belgium,Belgium,Flanders despite not being the biggest part of Belgium by area is the area with the largest population 682 if Brussels is included,P17,Forwards
Shoshone Falls,United States,United States,Shoshone Falls ʃoʊˈʃoʊn is a waterfall in the western United States on the Snake River in southcentral Idaho approximately three miles 5160km northeast of the city of Twin Falls,P17,Forwards
Annual Review of Earth and Planetary Sciences,Earth science,Earth,Annual Review of Earth and Planetary Sciences is an annual peerreviewed scientific journal published by Annual Reviews which broadly covers  Earth and planetary sciences including geology atmospheric sciences climate geophysics environmental science geological hazards geodynamics planet formation and solar system origins,P921,Forwards
Bristol,United Kingdom,United Kingdom,The urban area population of 670000 is the 11thlargest in the United Kingdom,P17,Forwards
Elizabeth Kolbert,United States,American,Elizabeth Kolbert born 1961 is an American journalist author and visiting fellow at Williams College,P27,Forwards
Overfishing,Resource depletion,resource depletion,Overfishing can occur in water bodies of any sizes such as ponds rivers lakes or oceans and can result in resource depletion reduced biological growth rates and low biomass levels,P31,Forwards
ESL Incorporated,United States,United States,ESL Incorporated or Electromagnetic Systems Laboratory was a subsidiary of TRW  a high technology firm in the United States that was engaged in software design systems analysis and hardware development for the strategic reconnaissance marketplace,P17,Forwards
World Wide Fund for Nature,Earth Hour,Earth Hour,In addition WWF has launched several notable worldwide campaigns including Earth Hour and Debtfornature swap and its current work is organized around these six areas food climate freshwater wildlife forests and oceans,P112,Backwards
Ghana,Togo,Togo,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P47,Backwards
Amsterdam,Netherlands,Netherlands,Amsterdam ˈæmstərdæm UK also ˌæmstərˈdæm Dutch160ˌɑmstərˈdɑm32listen is the capital and most populous city of the Netherlands with a population of 872680 within the city proper 1558755 in the urban area and 2480394 in the metropolitan area,P17,Forwards
Sapo National Park,Liberia,Liberia,Sapo National Park is a national park in Sinoe County Liberia,P17,Forwards
BBC News,BBC,British Broadcasting Corporation,BBC News is an operational business division of the British Broadcasting Corporation BBC responsible for the gathering and broadcasting of news and current affairs,P749,Forwards
German Institute for International and Security Affairs,Germany,German,The German Institute for International and Security Affairs German Stiftung Wissenschaft und Politik SWP is a German think tank in international relations160and security160studies,P17,Forwards
Madagascar,United Nations,United Nations,Madagascar is a member of the United Nations the African Union AU the Southern African Development Community SADC and the Organisation Internationale de la Francophonie,P463,Forwards
HansOlaf Henkel,Germany,Germany,HansOlaf Henkel born 14 March 1940 is a German politician a Member of the European Parliament MEP from Germany and a publicist,P27,Forwards
Norway,Erna Solberg,Erna Solberg,Erna Solberg has been prime minister since 2013 when she replaced Jens Stoltenberg,P6,Forwards
TransPacific Partnership,New Zealand,New Zealand,The  TransPacific Partnership TPP or TransPacific Partnership Agreement was a proposed trade agreement between Australia Brunei Canada Chile Japan Malaysia Mexico New Zealand Peru Singapore Vietnam and the United States signed on 4 February 2016,P1891,Forwards
Sustainable Development Goal 5,Gender equality,gender equality,Sustainable Development Goal 5 SDG 5 or Global Goal 5 concerns gender equality and is fifth of the 17 Sustainable Development Goals established by the United Nations in 2015,P921,Forwards
Beth Chatto,United Kingdom,British,Beth Chatto OBE32VMH 27 June 1923 – 13 May 2018 was a British plantswoman garden designer and author best known for creating and describing the Beth Chatto Gardens near Elmstead Market in the English county of Essex,P27,Forwards
Graduate Institute of International and Development Studies,Geneva,Geneva,The Graduate Institute of International and Development Studies or the Graduate Institute French Institut de hautes études internationales et du développement previously known as Institut des hautes études internationales abbreviated IHEID previously HEI IHEI or IUHEI is a governmentaccredited postgraduate institution of higher education located in Geneva Switzerland,P159,Forwards
Latvia,Estonia,Estonia,It is one of the Baltic states and is bordered by Estonia to the north Lithuania to the south Russia to the east Belarus to the southeast and shares a maritime border with Sweden to the west,P530,Forwards
India,China,China, Bounded by the Indian Ocean on the south the Arabian Sea on the southwest and the Bay of Bengal on the southeast it shares land borders with Pakistan to the west91f93 China Nepal and Bhutan to the north and Bangladesh and Myanmar to the east,P47,Forwards
Belgian Investment Company for Developing Countries,Brussels,Brussels,Belgian Investment Company for Developing Countries BIO is a private company based in Brussels Belgium,P159,Forwards
Soil,Pedology,pedology,Soil science has two basic branches of study edaphology and pedology,P2578,Backwards
Circular economy,Reuse,reuse,Circular systems employ reuse sharing repair refurbishment remanufacturing and recycling to create a closedloop system minimising the use of resource inputs and the creation of waste pollution and carbon emissions,P1552,Forwards
Asia,Europe,Europe,It shares the continental landmass of Eurasia with the continent of Europe and the continental landmass of AfroEurasia with both Europe and Africa,P47,Backwards
Mount Arfak,Arfak Mountains,Arfak Mountains,It is a popular hiking area and is the highest peak of the Arfak Mountains,P4552,Forwards
Kruger to Canyons Biosphere,Man and the Biosphere Programme,Man and the Biosphere MaB Programme,In 2001 under the supervision of the then Department of Environmental Affairs DEA the Kruger to Canyons Biosphere Region K2C BR was officially ratified by UNESCO as part of the Man and the Biosphere MaB Programme,P463,Forwards
Engineered wood,Wood,wood,Engineered wood also called mass timber composite wood manmade wood or manufactured board includes a range of derivative wood products which are manufactured by binding or fixing the strands particles fibres or veneers or boards of wood together with adhesives or other methods of fixation to form composite material,P279,Forwards
China,Hong Kong,Hong Kong,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P361,Backwards
Byblos,World Heritage Site,World Heritage Site,It is a UNESCO World Heritage Site,P1435,Forwards
Soil science,Soil,soil, Soil science is the study of soil as a natural resource on the surface of the Earth including soil formation classification and mapping physical chemical biological and fertility properties of soils and these properties in relation to the use and management of soils,P2579,Backwards
Myanmar,China,China,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P530,Forwards
Guns Germs and Steel,Jared Diamond,Jared Diamond,Guns Germs and Steel The Fates of Human Societies previously titled Guns Germs and Steel A Short History of Everybody for the Last 13000 Years is a 1997 transdisciplinary nonfiction book by Jared Diamond,P50,Forwards
LinkCycle,United States,American,LinkCycle is an American technology company that offers energy management software to manufacturing companies,P17,Forwards
Geography of the United Kingdom,United Kingdom,United Kingdom,The United Kingdom is a sovereign state located off the northwestern coast of continental Europe,P17,Forwards
Group of Seven,Japan,Japan,The Group of Seven G7 is an informal club of wealthy democracies consisting of Canada France Germany Italy Japan the United Kingdom and the United States,P710,Forwards
Angola,South Africa,South Africa,The country descended into a devastating civil war the same year between the ruling Peoples Movement for the Liberation of Angola MPLA backed by the Soviet Union and Cuba and the insurgent anticommunist National Union for the Total Independence of Angola UNITA supported by the United States and South Africa,P530,Backwards
Taiwan,Japan,Japan,Neighbouring countries include the Peoples Republic of China PRC to the northwest Japan to the northeast and the Philippines to the south,P530,Backwards
Bangladesh,Myanmar,Myanmar,Bangladesh shares land borders with India to the west north and east Myanmar to the southeast and the Bay of Bengal to the south,P530,Forwards
United States Botanic Garden,Washington DC,Washington DC,The United States Botanic Garden USBG is a botanic garden on the grounds of the United States Capitol in Washington DC near Garfield Circle,P131,Forwards
Faisal Mushtaq,Roots Millennium Schools,Roots Millennium Schools,He is the founder and Chief Executive Officer of Roots Millennium Schools Pakistan and is the Executive Director and member of the Board of Directors of the Roots School System,P112,Backwards
Bangladesh,Nepal,Nepal,It is narrowly separated from Nepal and Bhutan by the Siliguri Corridor and from China by Sikkim in the north respectively,P530,Backwards
Currumbin Ecovillage,Ecovillage,ecovillage,The ecovillage project has been developed on degraded farmland on the exurban fringe of City of Gold Coast a major resort city on Queensland’s South East Queensland coast,P31,Forwards
Ecosocialism,Green politics,green politics,Ecosocialism green socialism or socialist ecology is an ideology merging aspects of socialism with that of green politics ecology and alterglobalization or antiglobalization,P279,Forwards
Finland,Norway,Norway,It shares land borders with Sweden to the west Russia to the east Norway to the north and is defined by the Gulf of Bothnia to the west and the Gulf of Finland of the Baltic Sea across Estonia to the south,P530,Forwards
Indorama Ventures,Polyethylene terephthalate,polyethylene terephthalate,The Company products are divided into three categories feedstock polyethylene terephthalate PET and fibers,P1056,Forwards
Developing country,Developed country,developed countries,Countries on the other end of the spectrum are usually referred to as highincome countries or developed countries,P461,Forwards
Indonesia,Jakarta,Jakarta,The countrys capital Jakarta is the worlds secondmost populous urban area,P150,Forwards
Northwest Territories,Saskatchewan,Saskatchewan,The Northwest Territories is bordered by Canadas two other territories Nunavut to the east and Yukon to the west and by the provinces of British Columbia Alberta and Saskatchewan to the south and may touch Manitoba at a quadripoint to the southeast,P47,Forwards
China,Tianjin,Tianjin,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Classical architecture,Architecture,architecture,Classical architecture usually denotes architecture which is more or less consciously derived from the principles of Greek and Roman architecture of classical antiquity or sometimes even more specifically from the works of the Roman architect Vitruvius,P279,Forwards
Arizona,New Mexico,New Mexico,Arizona shares the Four Corners region with Utah to the north Colorado to the northeast and New Mexico to the east its other neighboring states are Nevada and California to the west and the Mexican states of Sonora and Baja California to the south and southwest,P47,Backwards
Estonia,European Union,European Union,It has a population of 13160million and is one of the least populous members of the European Union the Eurozone the OECD the Schengen Area NATO and the United Nations Security Council,P150,Backwards
Outline of chemical engineering,Chemical engineering,Chemical engineering,Chemical engineering 8211 deals with the application of physical science eg chemistry and physics and life sciences eg biology microbiology and biochemistry with mathematics and economics to the process of converting raw materials or chemicals into more useful or valuable forms,P5125,Backwards
Maitreya Festival,Australia,Australia,The Maitreya Festival sometimes spelt Maitreyah festival is a large outdoor music festival held yearly in Melbourne Australia,P17,Forwards
Social sustainability,Sustainable development,sustainable development,Social sustainability is the least defined and least understood of the different ways of approaching sustainability and sustainable development,P361,Forwards
Bhutan,China,China,It is bordered by China to the north and India to the south,P47,Forwards
Bhutan,Thimphu,Thimphu,The largest city in Bhutan is the capital Thimphu,P1376,Backwards
Institute for Environmental Solutions,Latvia,Latvia,Institute for Environmental Solutions IES is a nonprofit research organization in Latvia that utilizes airborne remote sensing technologies and creates multidisciplinary teams to design and develop innovative environmental solutions,P17,Forwards
Environment International,Elsevier,Elsevier,It was established in 1978 and is published eight times per year by Elsevier,P123,Forwards
COVID19 pandemic,COVID19,coronavirus disease 2019,The COVID19 pandemic also known as the coronavirus pandemic is an ongoing global pandemic of coronavirus disease 2019 COVID19 which is caused by severe acute respiratory syndrome coronavirus 2 SARSCoV2,P1889,Backwards
Bloomberg Philanthropies,New York City,New York City,Headquartered in New York City Bloomberg Philanthropies focuses its resources on five areas the environment public health the arts government innovation and education,P159,Forwards
Waitakere City,New Zealand,New Zealand,Waitākere City was a territorial authority in the western part of the urban area of Auckland New Zealand it was governed by the Waitākere City Council from 1989 to 2010,P17,Forwards
Pasture,Grazing,grazing,Pasture in a wider sense additionally includes rangelands other unenclosed pastoral systems and land types used by wild animals for grazing or browsing,P366,Forwards
Child mortality,Mortality rate,mortality,Child mortality is the mortality of children under the age of five,P279,Forwards
Indonesia,Philippines,Philippines,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P47,Forwards
Tanzania,Menai Bay Conservation Area,Menai Bay Conservation Area,The Menai Bay Conservation Area is Zanzibars largest marine protected area,P17,Backwards
Environmental economics,Ecological economics,ecological economics,Environmental economics is distinguished from ecological economics in that ecological economics emphasizes the economy as a subsystem of the ecosystem with its focus upon preserving natural capital,P1889,Forwards
Ecology,Human ecology,human ecology,Ecology has practical applications in conservation biology wetland management natural resource management agroecology agriculture forestry agroforestry fisheries city planning urban ecology community health economics basic and applied science and human social interaction human ecology,P361,Backwards
Netherlands,Germany,Germany,In Europe the Netherlands consists of twelve provinces bordering Germany to the east Belgium to the south and the North Sea to the northwest with maritime borders in the North Sea with those countries and the United Kingdom,P530,Backwards
Leviathan Hobbes book,Thomas Hobbes,Thomas Hobbes,Leviathan or The Matter Forme and Power of a Commonwealth Ecclesiasticall and Civil commonly referred to as Leviathan is a book written by Thomas Hobbes 1588–1679 and published in 1651 revised Latin edition 1668,P50,Forwards
Indonesia,G20,G20,The country is a member of several multilateral organisations including the United Nations  World Trade Organization G20 and a founding member of the NonAligned Movement Association of Southeast Asian Nations East Asia Summit and the Organisation of Islamic Cooperation,P527,Backwards
Geothermal power,Geothermal energy,geothermal energy,Geothermal power is power generated by geothermal energy,P1889,Forwards
Asia Pulp  Paper,Sinar Mas Group,Sinar Mas Group,Soetopo Jananto and former head of commissary and deputy of Sinar Mas Group91span titleThis claim needs references to reliable sources,P749,Forwards
Clark Freeport and Special Economic Zone,New Clark City,New Clark City,The New Clark City is part of the Clark Special Economic Zone,P1889,Backwards
Atlantic Ocean,Arctic Ocean,Arctic Ocean,As one component of the interconnected World Ocean it is connected in the north to the Arctic Ocean to the Pacific Ocean in the southwest the Indian Ocean in the southeast and the Southern Ocean in the south other definitions describe the Atlantic as extending southward to Antarctica,P527,Forwards
Sustainable Development Goals,Sustainable Development Goal 15,Life On Land,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Nigeria,Cameroon,Cameroon,It borders Niger in the north Chad in the northeast Cameroon in the east and Benin in the west,P47,Backwards
Life,Organism,organisms,One popular definition is that organisms are open systems that maintain homeostasis are composed of cells have a life cycle undergo metabolism can grow adapt to their environment respond to stimuli reproduce and evolve,P1557,Backwards
Thimphu,Bhutan,Bhutan,Thimphu tɪmˈpuː Dzongkha ཐིམ་ཕུ tʰim˥pʰu˥ formerly spelt as Thimbu or Thimpu is the capital and largest city of Bhutan,P1376,Forwards
Togo,Ghana,Ghana,Togo ˈtoʊɡoʊ32listen officially the Togolese Republic French République togolaise is a country in West Africa bordered by Ghana to the west Benin to the east and Burkina Faso to the north,P530,Forwards
Angola,Brazil,Brazil,It is the secondlargest lusophone Portuguesespeaking country in both total area and population behind Brazil and it is the seventhlargest country in Africa bordered by Namibia to the south the Democratic Republic of the Congo to the north Zambia to the east and the Atlantic Ocean to the west,P530,Backwards
Ghana,Nana AkufoAddo,Nana AkufoAddo,Ethnic160groups  2010475 Akans166 MoleDagbon139 Ewe74 GaAdangbe59 Bassare57 Konkomba37 Guan25 Gurunsi22 Kusasi11 Bissa14 OtherReligion 712 Christianity—467 Protestantism—131 Catholicism—114 Other Christian176 Islam62 Traditional faiths41 No religion09 OtherDemonymsGhanaianGovernmentUnitary presidentialconstitutional republic•160President Nana AkufoAddo•160VicePresident Mahamudu Bawumia•160Speaker of Parliament Alban Sumana Kingsford Bagbin•160Chief Justice Kwasi AninYeboah,P27,Backwards
Patrick E Ngowi,Tanzania,Tanzanian,Ngowi is a Tanzanian businessperson and public commentator,P27,Forwards
Belgium,European Union,European Union,Belgium is one of the six founding countries of the European Union and its capital Brussels hosts the official seats of the European Commission the Council of the European Union and the European Council as well as one of two seats of the European Parliament the other being Strasbourg,P112,Backwards
Denmark,United Nations,United Nations,It is among the founding members of NATO the Nordic Council the OECD OSCE and the United Nations it is also part of the Schengen Area,P112,Backwards
Rio Tinto Alcan Planetarium,Montreal,Montreal,The Rio Tinto Alcan Planetarium French Planétarium Rio Tinto Alcan is the successor to the Montreal Planetarium and is located in the Espace pour la Vie near the Olympic Stadium and the Biodome in Montreal Quebec Canada,P131,Forwards
Norway,European Economic Area,European Economic Area,Norway is also a founding member of the United Nations NATO the European Free Trade Association the Council of Europe the Antarctic Treaty and the Nordic Council a member of the European Economic Area the WTO and the OECD and a part of the Schengen Area,P527,Backwards
Poland,Geography of Poland,Area ,Area •160Total312696160km2 120733160sq160mi91b933269th•160Water160148 as of 2015Population•1602020 estimate 382680003238th•160Density123km2 3186sq160mi3283rdGDP160PPP2021160estimate•160Total 1363 trillion3220th•160Per capita 359573239thGDP160nominal2021160estimate•160Total 642 billion3222nd•160Per capita 169303244thGini160201lowHDI160201very high160·16035thCurrencyZłoty PLNTime zoneUTC1 CET•160Summer160DSTUTC2 CESTDate formatddmmyyyy CEDriving siderightCalling code48ISO 3166 codePLInternet TLDplWebsitepolandpl,P2633,Forwards
Guns Germs and Steel,Jared Diamond,Jared Diamond,Guns Germs and Steel The Fates of Human Societies previously titled Guns Germs and Steel A Short History of Everybody for the Last 13000 Years is a 1997 transdisciplinary nonfiction book by Jared Diamond,P800,Backwards
Knorr brand,Germany,German,Knorr nɔːr German32knɔʁ is a German food and beverage brand,P495,Forwards
China,Shanghai,Shanghai,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P17,Backwards
Sobey School of Business,Canada,Canada,The Sobey School of Business is the business school of Saint Marys University SMU located in Halifax Nova Scotia Canada,P17,Forwards
Rio de Janeiro,Rio de Janeiro state,state of Rio de Janeiro,Rio de Janeiro is the capital of the state of Rio de Janeiro Brazils thirdmost populous state after São Paulo and Minas Gerais,P150,Backwards
Ivory Coast,Liberia,Liberia,It borders Guinea to the northwest Liberia to the west Mali to the northwest Burkina Faso to the northeast Ghana to the east and the Gulf of Guinea Atlantic Ocean to the south,P47,Backwards
Croatia,Europe,Europe,    Anthem160Lijepa naša domovinoOur Beautiful HomelandShow globeShow map of EuropeLocation of160Croatia160dark green–160in Europe160green amp160dark grey–160in the European Union160greenCapitaland largest cityZagreb91b9345°48′N 16°0′Exfeff  xfeff45800°N 16000°Exfeff  45800 16000Official160languagesCroatian91c93Writing systemLatin91d93Ethnic160groups  20119042 Croats436 Serbs522 OthersReligion  20119106 Christianity—8628 Catholicism—444 Orthodoxy—034 Protestantism457 No religion437 OthersDemonymsCroatianGovernmentUnitary parliamentary constitutional republic•160President Zoran Milanović•160Prime Minister Andrej Plenković•160Speaker of Parliament Gordan Jandroković,P30,Forwards
Czech Republic,European Union,European Union,    Motto160Pravda vítězí160CzechTruth prevailsAnthem160Kde domov můj160160CzechWhere is my home160aLocation of160the160Czech Republic160dark green–160in Europe160green amp160dark grey–160in the European Union160green160 –160 91Legend93Capitaland largest cityPrague50°05′N 14°28′Exfeff  xfeff50083°N 14467°Exfeff  50083 14467Official languageCzechmwparseroutput noboldfontweightnormalOfficially recognized languages ,P463,Forwards
West Africa,Ivory Coast,Ivory Coast,The United Nations defines Western Africa as the 16 countries of Benin Burkina Faso Cape Verde The Gambia Ghana Guinea GuineaBissau Ivory Coast Liberia Mali Mauritania Niger Nigeria Senegal Sierra Leone and Togo,P361,Backwards
Metro Manila,Navotas,Navotas,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Ivory Coast,Ghana,Ghana,It borders Guinea to the northwest Liberia to the west Mali to the northwest Burkina Faso to the northeast Ghana to the east and the Gulf of Guinea Atlantic Ocean to the south,P47,Backwards
International Day for Biological Diversity,Biodiversity,biodiversity,The International Day for Biological Diversity or World Biodiversity Day is a United Nations–sanctioned international day for the promotion of biodiversity issues,P921,Forwards
Magdalena Department,Colombia,Colombia,Magdalena Spanish pronunciation160maɣðaˈlena is a department of Colombia with more than 13 million people located to the north of the country by the Caribbean Sea,P17,Forwards
Ocean,Arctic Ocean,Arctic,A common definition lists five oceans in descending order by area the Pacific Atlantic Indian Southern Antarctic and Arctic Oceans,P31,Backwards
Climate Change Act 2008,United Kingdom,United Kingdom, The Act aims to enable the United Kingdom to become a lowcarbon economy and gives ministers powers to introduce the measures necessary to achieve a range of greenhouse gas reduction targets,P17,Forwards
KorabKoritnik Nature Park,Nature park,nature park,The KorabKoritnik Nature Park Albanian Parku Natyror i KorabKoritnikut is a nature park in eastern Albania and forms a section of the European Green Belt which serves as a retreat for endangered animal and plant species,P31,Forwards
Angola,Democratic Republic of the Congo,Democratic Republic of the Congo,It is the secondlargest lusophone Portuguesespeaking country in both total area and population behind Brazil and it is the seventhlargest country in Africa bordered by Namibia to the south the Democratic Republic of the Congo to the north Zambia to the east and the Atlantic Ocean to the west,P47,Forwards
Arctic Ocean,Ocean,oceans,The Arctic Ocean is the smallest and shallowest of the worlds five major oceans,P31,Forwards
Kaluki Paul Mutuku,Kenya,Kenyan,Kaluki Paul Mutuku born March 4 1993 is a Kenyan climate activist and environmental defender fighting to improve youth participation in decisionmaking around climate justice,P27,Forwards
Navotas,Metro Manila,National Capital Region,Navotas officially the City of Navotas Tagalog Lungsod ng Navotas is a 1st class highly urbanized city in the National Capital Region of the Philippines,P150,Backwards
Alaska,British Columbia,British Columbia,A semiexclave of the US it borders the Canadian province of British Columbia and territory of Yukon to the east and has a maritime border with Russias Chukotka Autonomous Okrug to the west just across the Bering Strait,P47,Backwards
European Economic Area,Norway,Norway,Membership has grown to 30 states as of 2020 27 EU member states as well as three of the four member states of the EFTA Iceland Liechtenstein and Norway,P463,Backwards
MIKTA,South Korea,South Korea,MIKTA is an informal middle power partnership between Mexico Indonesia South Korea Turkey and Australia,P361,Backwards
Ghana,Nana AkufoAddo,Nana AkufoAddo,Ethnic160groups  2010475 Akans166 MoleDagbon139 Ewe74 GaAdangbe59 Bassare57 Konkomba37 Guan25 Gurunsi22 Kusasi11 Bissa14 OtherReligion 712 Christianity—467 Protestantism—131 Catholicism—114 Other Christian176 Islam62 Traditional faiths41 No religion09 OtherDemonymsGhanaianGovernmentUnitary presidentialconstitutional republic•160President Nana AkufoAddo•160VicePresident Mahamudu Bawumia•160Speaker of Parliament Alban Sumana Kingsford Bagbin•160Chief Justice Kwasi AninYeboah,P35,Forwards
Compost,Fertilizer,fertilizer,The benefits of compost include providing nutrients as fertilizer to the crop acting as soil conditioner increasing the humus or humic acids content of the soil and introducing beneficial colonies of microbes in the soil which help in suppressing pathogens,P366,Forwards
Earth,Biosphere,biosphere,Almost 8 billion humans live on Earth and depend on its biosphere and natural resources for their survival,P527,Forwards
Iran,United Nations,United Nations,Iran is a founding member of the United Nations the ECO the OIC and the OPEC,P112,Backwards
Donald Kaberuka,Rwanda,Rwandan,Kaberuka born 5 October 1951 is a Rwandan economist and was the president of the African Development Bank from September 2005 until September 2015,P27,Forwards
Botswana,Namibia,Namibia,It is bordered by South Africa to the south and southeast Namibia to the west and north and Zimbabwe to the northeast,P47,Backwards
Miss Nepal 2014,Miss Nepal 2013,Miss Nepal 2013,Miss Nepal 2013 Ishani Shrestha crowned her successor as Miss Nepal World 2014 who will represent Nepal at Miss World 2014 with 1st runner up as Miss Nepal Earth 2014 sent to Miss Earth 2014 and 2nd runner up as Miss Nepal International 2014 to Miss International 2014,P156,Backwards
Hungary,Croatia,Croatia,Spanning 93030 square kilometres 35920160sq160mi of the Carpathian Basin it is bordered by Slovakia to the north Ukraine to the northeast Romania to the east and southeast Serbia to the south Croatia and Slovenia to the southwest and Austria to the west,P47,Backwards
Republic of Ireland,European Union,European Union,Ireland is a member of the European Union and is a founding member of the Council of Europe and the OECD,P150,Backwards
Human rights in Tuvalu,Tuvalu,Tuvalu,Tuvalu is a small island nation in the South Pacific located North of Fiji and North West of Samoa,P17,Forwards
Insect biodiversity,Biodiversity,biodiversity,Insect biodiversity accounts for a large proportion of all biodiversity on the planet—over half of the estimated 15 million organism species described are classified as insects,P31,Forwards
Ratanakiri Province,Cambodia,Cambodia,Ratanakiri or Ratanak Kiri Khmer រតនគិរី Reăktăknăkkĭri  ˌreə̯̆ʔtaʔˈnaʔkiˈriː is a province of northeast Cambodia,P17,Forwards
Arctic Ocean,World Ocean,World Ocean,It is also seen as the northernmost part of the allencompassing World Ocean,P527,Backwards
Global Assessment Report on Biodiversity and Ecosystem Services,Biodiversity,biodiversity,The Global Assessment Report on Biodiversity and Ecosystem Services is a report by the United Nations Intergovernmental SciencePolicy Platform on Biodiversity and Ecosystem Services on the global state of biodiversity,P921,Forwards
